dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
MNIST,4,LazyGBM[s=4.00],0.9418,2.268665075302124,81.0,0.07381841634533907,0.0040000000000000036,0.18999999999999995,0.16746926307678223,,4.0
Covertype,4,LazyRF[t=0.900],0.923575,1.5667669773101807,16.64775,0.039649108871235884,0.001375000000000015,0.8335225,0.062120914459228516,0.9,
Covertype,4,LazyRF[t=0.970],0.9248,1.8416283130645752,21.61875,0.03373151575621454,0.0001500000000000945,0.7838125,0.062120914459228516,0.97,
Covertype,4,LazyRF[t=0.990],0.92495,2.1127336025238037,25.98075,0.029403098613578572,0.0,0.7401925,0.062120914459228516,0.99,
Covertype,4,LazyGBM[s=2.00],0.76445,0.8344802856445312,81.0,0.28396909313658264,0.005375000000000019,0.18999999999999995,0.23696660995483398,,2.0
Covertype,4,LazyGBM[s=4.00],0.76445,0.8682351112365723,81.0,0.2729290797942247,0.005375000000000019,0.18999999999999995,0.23696660995483398,,4.0
Higgs,4,LazyRF[t=0.900],0.717675,0.8960118293762207,33.3885,0.07142458009880404,0.0026250000000000995,0.666115,0.06399726867675781,0.9,
Higgs,4,LazyRF[t=0.970],0.72,1.2211251258850098,48.59875,0.05240844473687807,0.000300000000000078,0.5140125,0.06399726867675781,0.97,
Higgs,4,LazyRF[t=0.990],0.72005,1.3939690589904785,56.65825,0.04591010701708476,0.0002500000000000835,0.4334175,0.06399726867675781,0.99,
Higgs,4,LazyGBM[s=2.00],0.70905,0.14669585227966309,77.5283,0.3117049441967732,0.0,0.22471699999999994,0.04572582244873047,,2.0
Higgs,4,LazyGBM[s=4.00],0.70905,0.15549421310424805,85.639325,0.2940676796639016,0.0,0.14360675,0.04572582244873047,,4.0
Credit Card,4,LazyRF[t=0.900],0.99945,0.20010733604431152,10.01625,0.13607113453773392,0.0,0.8998375000000001,0.027228832244873047,0.9,
Credit Card,4,LazyRF[t=0.970],0.99945,0.19793486595153809,10.025,0.13756460800362322,0.0,0.89975,0.027228832244873047,0.97,
Credit Card,4,LazyRF[t=0.990],0.99945,0.19307446479797363,10.03225,0.14102761995670604,0.0,0.8996775,0.027228832244873047,0.99,
Credit Card,4,LazyGBM[s=2.00],0.998,0.06546378135681152,10.9909,0.26467813894200126,0.0,0.890091,0.017326831817626953,,2.0
Credit Card,4,LazyGBM[s=4.00],0.998,0.06881999969482422,10.9909,0.25177029779804055,0.0,0.890091,0.017326831817626953,,4.0
MNIST,5,LazyRF[t=0.900],0.9687,0.5356791019439697,15.518,0.07458604478100196,0.00029999999999996696,0.84482,0.039954185485839844,0.9,
MNIST,5,LazyRF[t=0.970],0.9689,0.5730373859405518,19.073,0.06972352322224362,9.999999999998899e-05,0.8092699999999999,0.039954185485839844,0.97,
MNIST,5,LazyRF[t=0.990],0.969,0.5934140682220459,22.404,0.06732935335616215,0.0,0.77596,0.039954185485839844,0.99,
MNIST,5,LazyGBM[s=2.00],0.9419,2.2171413898468018,81.0,0.07009844220546242,0.0040000000000000036,0.18999999999999995,0.15541815757751465,,2.0
MNIST,5,LazyGBM[s=4.00],0.9419,2.2436928749084473,81.0,0.06926890900068326,0.0040000000000000036,0.18999999999999995,0.15541815757751465,,4.0
Covertype,5,LazyRF[t=0.900],0.926675,1.5746815204620361,16.409,0.04036251192901775,0.0005999999999999339,0.83591,0.06355810165405273,0.9,
Covertype,5,LazyRF[t=0.970],0.927175,1.826723337173462,21.3685,0.034793501763872955,9.999999999998899e-05,0.786315,0.06355810165405273,0.97,
Covertype,5,LazyRF[t=0.990],0.927225,2.1029205322265625,25.60275,0.03022372965599309,4.999999999999449e-05,0.7439724999999999,0.06355810165405273,0.99,
Covertype,5,LazyGBM[s=2.00],0.768375,0.8441264629364014,80.9998,0.28076388714322714,0.004874999999999963,0.19000200000000012,0.2370002269744873,,2.0
Covertype,5,LazyGBM[s=4.00],0.768375,0.8609116077423096,80.99995,0.2752898495537847,0.004874999999999963,0.19000050000000002,0.2370002269744873,,4.0
Higgs,5,LazyRF[t=0.900],0.7194,0.8829286098480225,32.77575,0.07861347441221558,0.0036999999999999256,0.6722425,0.06941008567810059,0.9,
Higgs,5,LazyRF[t=0.970],0.723175,1.2116026878356934,48.106,0.057287827416501534,-7.500000000004725e-05,0.51894,0.06941008567810059,0.97,
Higgs,5,LazyRF[t=0.990],0.723125,1.4005053043365479,56.30975,0.04956074458495662,-2.5000000000052758e-05,0.43690249999999997,0.06941008567810059,0.99,
Higgs,5,LazyGBM[s=2.00],0.712025,0.15305042266845703,86.486475,0.288922640745241,0.0,0.13513525000000004,0.0442197322845459,,2.0
Higgs,5,LazyGBM[s=4.00],0.712025,0.16028189659118652,91.527425,0.27588725380092255,0.0,0.08472575000000004,0.0442197322845459,,4.0
Credit Card,5,LazyRF[t=0.900],0.999475,0.1931440830230713,10.01925,0.14373568858357869,-2.5000000000052758e-05,0.8998075,0.02776169776916504,0.9,
